o,d,dis
2,110,18040.61827
2,48,18078.67365
2,29,18522.49826
2,61,19651.31131
2,76,19724.74461
2,49,19863.14218
2,64,19945.61887
2,105,20088.51821
2,46,20323.03993
2,62,20698.62089
2,118,20714.60524
2,14,20815.50234
2,53,21172.41673
2,51,21245.60707
2,52,21303.89331
2,8,21494.63774
2,50,21580.56418
2,25,22095.4791
2,4,22979.56985
2,24,23451.83487
2,13,23726.04412
2,26,25643.09316
2,21,25814.21086
2,22,25818.88376
2,7,26119.26842
2,63,26201.31817
2,27,28166.26022
3,3,0.0
3,94,6050.699752
3,71,7914.700094
3,92,8198.068977
3,98,9370.8756
3,15,9651.816015
3,16,9715.475718
3,54,9951.576381
3,32,10296.02935
3,93,11332.63621
3,56,11360.86834
3,91,11384.7773
3,70,11390.57161
3,95,11946.39282
3,2,12265.5786
3,88,12483.39544
3,18,12913.97225
3,17,12943.24988
3,96,13940.3583
3,33,14598.42587
3,100,15227.13026
3,66,15274.44635
3,19,15461.96218
3,101,15552.08041
3,5,15570.8502
3,47,16253.80626
3,99,16505.6691
3,12,16629.09659
3,110,16768.33404
3,40,16782.07621
3,77,16976.81141
3,120,17038.53917
3,102,17129.23643
3,103,17163.29322
3,57,17528.437
3,97,17542.66712
3,125,17928.33904
3,73,18287.47296
3,31,18337.95995
3,30,18371.33305
3,25,18537.30966
3,11,18656.82999
3,43,18675.2435
3,74,18920.78162
3,86,18947.44266
3,89,18972.0496
3,38,19140.2029
3,112,19202.25022
3,20,19265.72612
3,121,19375.1317
3,122,19385.79621
3,123,19460.28723
3,9,19495.72288
3,10,19568.99938
3,87,19793.75657
3,34,19924.52127
3,58,20104.65973
3,124,20209.19892
3,90,20281.43395
3,85,20428.50462
3,75,20508.27987
3,1,20524.79565
3,69,20532.8547
3,111,20585.08667
3,72,20704.18184
3,80,20746.25518
3,106,21291.98322
3,119,21518.04729
3,104,21580.73353
3,28,21905.16205
3,84,21914.87501
3,65,22115.98893
3,117,22357.27929
3,23,22428.98215
3,81,22457.2306
3,36,22510.15006
3,60,22667.48161
3,35,23238.27992
3,113,23327.61152
3,115,23332.60686
3,114,23356.8818
3,109,23483.68297
3,107,23697.87701
3,41,23791.2696
3,42,23810.92213
3,59,24023.24044
3,83,24049.55181
3,6,24049.99214
3,78,24082.29011
3,108,24138.50569
3,55,24906.66512
3,39,25088.43093
3,79,25091.19282
3,44,25112.0288
3,37,25384.75593
